"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits
	"Harford County, MD"	"24025"	2689	255441	10.53	46969	57.25	30.09	38.49	3320.50	27.43	11.30
	"Howard County, MD"	"24027"	3351	325690	10.29	63825	52.50	31.89	38.43	3259.73	25.75	10.49
	"Montgomery County, MD"	"24031"	12064	1050688	11.48	201809	59.78	31.78	38.47	3274.23	25.87	11.52
	"Prince George's County, MD"	"24033"	11803	909327	12.98	185318	63.69	29.73	38.33	3211.28	28.07	10.21
	"St. Mary's County, MD"	"24037"	1369	113510	12.06	22374	61.19	28.91	38.62	3361.79	27.71	11.61
	"Washington County, MD"	"24043"	1657	151049	10.97	25995	63.74	28.28	38.41	3288.24	28.08	11.78
	"Baltimore city, MD"	"24510"	7707	593490	12.99	136722	56.37	28.77	38.17	3121.70	27.90	10.20
	"Unidentified Counties, MD"	"24999"	5466	545775	10.02	96911	56.40	28.61	38.54	3302.41	27.73	11.83
	"Barnstable County, MA"	"25001"	1474	212990	6.92	28241	52.19	30.96	38.90	3374.66	26.46	11.38
	"Berkshire County, MA"	"25003"	887	124944	7.10	21067	42.10	29.77	38.66	3241.75	27.18	11.85
	"Bristol County, MA"	"25005"	5548	565217	9.82	107720	51.50	29.79	38.61	3268.71	27.38	12.52
	"Essex County, MA"	"25009"	8492	789034	10.76	148599	57.15	30.55	38.56	3288.04	26.75	11.67
	"Hampden County, MA"	"25013"	4777	466372	10.24	92104	51.87	28.67	38.42	3244.63	28.26	10.71
	"Hampshire County, MA"	"25015"	982	160830	6.11	40195	24.43	31.30	38.79	3319.64	26.47	12.35
	"Middlesex County, MA"	"25017"	16324	1611699	10.13	336335	48.53	32.27	38.66	3300.28	25.47	11.72
	"Norfolk County, MA"	"25021"	7258	706775	10.27	136940	53.00	32.61	38.63	3316.37	25.49	11.92
	"Plymouth County, MA"	"25023"	5232	521202	10.04	91870	56.95	31.28	38.61	3324.82	26.61	12.15
	"Suffolk County, MA"	"25025"	8792	803907	10.94	215154	40.86	31.27	38.53	3233.81	26.21	11.34
	"Worcester County, MA"	"25027"	8491	830622	10.22	159093	53.37	30.22	38.56	3290.66	27.26	11.72
	"Unidentified Counties, MA"	"25999"	860	98911	8.69	16289	52.80	30.87	38.89	3368.15	26.56	13.34
	"Allegan County, MI"	"26005"	1305	118081	11.05	20829	62.65	28.54	38.43	3375.07	28.19	11.88
	"Bay County, MI"	"26017"	925	103126	8.97	17768	52.06	28.19	38.83	3324.45	28.38	13.81
	"Berrien County, MI"	"26021"	1611	153401	10.50	26658	60.43	28.04	38.61	3264.86	28.41	11.33
	"Calhoun County, MI"	"26025"	1471	134159	10.96	24756	59.42	27.41	38.52	3267.14	28.48	13.94
	"Eaton County, MI"	"26045"	1094	110268	9.92	20271	53.97	28.70	38.49	3281.37	28.08	14.17
	"Genesee County, MI"	"26049"	4582	405813	11.29	75052	61.05	27.52	38.22	3213.19	28.09	12.01
	"Ingham County, MI"	"26065"	3056	292406	10.45	70169	43.55	28.76	38.56	3259.49	28.09	13.66
	"Jackson County, MI"	"26075"	1661	158510	10.48	27066	61.37	27.65	38.49	3282.27	28.35	12.59
	"Kalamazoo County, MI"	"26077"	2991	265066	11.28	58612	51.03	28.80	38.54	3298.70	27.97	15.63
	"Kent County, MI"	"26081"	8174	656955	12.44	137528	59.44	29.01	38.39	3272.17	27.89	11.87
	"Livingston County, MI"	"26093"	1769	191995	9.21	32327	54.72	30.59	38.50	3361.22	26.99	14.73
	"Macomb County, MI"	"26099"	9118	873972	10.43	162841	55.99	29.45	38.34	3245.59	27.66	12.48
	"Monroe County, MI"	"26115"	1514	150500	10.06	26300	57.57	28.47	38.30	3284.47	28.77	13.46
	"Muskegon County, MI"	"26121"	1955	173566	11.26	31756	61.56	27.19	38.23	3227.07	28.55	11.05
	"Oakland County, MI"	"26125"	12899	1257584	10.26	232871	55.39	30.82	38.48	3272.34	26.39	13.56
	"Ottawa County, MI"	"26139"	3226	291830	11.05	60503	53.32	29.24	38.55	3375.88	27.63	11.23
	"Saginaw County, MI"	"26145"	2117	190539	11.11	34631	61.13	27.57	38.72	3220.82	29.06	11.75
	"St. Clair County, MI"	"26147"	1529	159128	9.61	26586	57.51	27.91	38.42	3330.87	28.28	11.32
	"Washtenaw County, MI"	"26161"	3558	367601	9.68	85685	41.52	30.85	38.50	3284.08	26.44	16.64
	"Wayne County, MI"	"26163"	22559	1749343	12.90	344717	65.44	28.33	38.25	3165.19	28.19	11.53
	"Unidentified Counties, MI"	"26999"	20772	2183014	9.52	361546	57.45	28.01	38.59	3329.91	28.24	11.88
	"Anoka County, MN"	"27003"	4186	356921	11.73	67173	62.32	30.27	38.55	3346.13	28.00	11.27
	"Dakota County, MN"	"27037"	5177	429021	12.07	82026	63.11	30.76	38.67	3354.41	27.35	12.24
	"Hennepin County, MN"	"27053"	15431	1265843	12.19	266293	57.95	31.05	38.62	3299.70	26.68	11.70
	"Olmsted County, MN"	"27109"	2029	158293	12.82	31624	64.16	30.15	38.68	3342.70	26.78	10.04
	"Ramsey County, MN"	"27123"	7158	550321	13.01	117454	60.94	29.89	38.61	3285.16	27.10	11.27
	"St. Louis County, MN"	"27137"	1901	199070	9.55	37354	50.89	29.06	38.59	3356.74	27.71	11.44
	"Scott County, MN"	"27139"	1691	149013	11.35	29230	57.85	30.81	38.60	3377.47	27.60	12.06
	"Stearns County, MN"	"27145"	1989	161075	12.35	32802	60.64	29.32	38.65	3375.69	27.70	11.38
	"Washington County, MN"	"27163"	2702	262440	10.30	48169	56.09	30.93	38.58	3346.25	27.05	11.84
	"Wright County, MN"	"27171"	1687	138377	12.19	25982	64.93	30.11	38.59	3398.69	27.27	11.67
	"Unidentified Counties, MN"	"27999"	22076	1969258	11.21	343549	64.26	28.96	38.53	3371.36	28.20	11.29
	"DeSoto County, MS"	"28033"	2123	184945	11.48	38564	55.05	28.02	38.07	3195.24	28.36	10.46
	"Harrison County, MS"	"28047"	2649	208080	12.73	41411	63.97	27.56	38.03	3173.00	28.28	11.14
	"Hinds County, MS"	"28049"	3028	231840	13.06	50527	59.93	27.19	37.65	3016.11	29.12	12.32
	"Jackson County, MS"	"28059"	1574	143617	10.96	27607	57.01	27.49	38.02	3164.94	27.66	11.41
	"Rankin County, MS"	"28121"	1736	155271	11.18	31914	54.40	28.44	37.86	3209.69	28.56	12.28
	"Unidentified Counties, MS"	"28999"	25526	2052396	12.44	394276	64.74	26.69	37.90	3124.88	29.12	11.72
	"Boone County, MO"	"29019"	2075	180463	11.50	45435	45.67	29.29	38.35	3256.17	26.89	10.85
	"Clay County, MO"	"29047"	3087	249948	12.35	50705	60.88	29.00	38.45	3307.71	27.47	11.29
	"Franklin County, MO"	"29071"	1222	103967	11.75	17897	68.28	27.94	38.41	3302.99	28.04	11.46
	"Greene County, MO"	"29077"	3421	293086	11.67	62879	54.41	27.82	38.36	3295.16	27.39	11.16
	"Jackson County, MO"	"29095"	8838	703011	12.57	143861	61.43	28.19	38.36	3223.02	27.54	10.50
	"Jasper County, MO"	"29097"	1542	121328	12.71	24063	64.08	26.46	38.43	3293.30	27.55	10.86
	"Jefferson County, MO"	"29099"	2506	225081	11.13	41556	60.30	28.61	38.19	3268.33	27.75	10.77
	"St. Charles County, MO"	"29183"	4305	402022	10.71	77263	55.72	30.27	38.29	3300.12	26.71	11.60
	"St. Louis County, MO"	"29189"	11392	994205	11.46	189463	60.13	29.74	38.17	3206.11	27.22	10.63
	"St. Louis city, MO"	"29510"	3951	300576	13.14	69136	57.15	28.69	38.14	3131.67	27.37	8.83
	"Unidentified Counties, MO"	"29999"	29788	2563741	11.62	454777	65.50	27.29	38.36	3284.54	27.89	10.99
	"Missoula County, MT"	"30063"	1074	119600	8.98	26792	40.09	29.77	38.54	3283.92	26.18	11.38
	"Yellowstone County, MT"	"30111"	1866	161300	11.57	30864	60.46	28.62	38.46	3278.03	27.74	11.82
	"Unidentified Counties, MT"	"30999"	8139	787878	10.33	137535	59.18	28.54	38.48	3279.62	26.91	10.80
	"Douglas County, NE"	"31055"	8043	571327	14.08	119416	67.35	29.27	38.25	3262.50	27.01	12.20
	"Lancaster County, NE"	"31109"	3670	319090	11.50	69412	52.87	29.31	38.38	3311.14	26.58	10.81
	"Sarpy County, NE"	"31153"	2446	187196	13.07	38163	64.09	29.41	38.27	3312.32	27.10	12.23
	"Unidentified Counties, NE"	"31999"	10596	856795	12.37	146800	72.18	28.33	38.45	3316.93	27.66	11.14
	"Clark County, NV"	"32003"	26266	2266715	11.59	455479	57.67	28.93	38.33	3204.46	26.77	11.85
	"Washoe County, NV"	"32031"	5216	471519	11.06	91601	56.94	29.03	38.44	3222.51	27.46	9.93
	"Unidentified Counties, NV"	"32999"	3590	341922	10.50	54436	65.95	28.00	38.35	3222.36	27.79	10.12
	"Hillsborough County, NH"	"33011"	4135	417025	9.92	78336	52.79	29.93	38.74	3335.41	27.16	12.67
	"Merrimack County, NH"	"33013"	1213	151391	8.01	27287	44.45	29.96	38.84	3384.37	27.71	13.71
	"Rockingham County, NH"	"33015"	2652	309769	8.56	52824	50.20	31.25	38.72	3371.63	26.50	12.89
	"Strafford County, NH"	"33017"	1144	130633	8.76	28592	40.01	29.65	38.74	3340.82	26.80	12.12
	"Unidentified Counties, NH"	"33999"	2695	350893	7.68	58689	45.92	29.13	38.82	3353.28	27.72	12.51
	"Atlantic County, NJ"	"34001"	2839	263670	10.77	47180	60.17	29.15	38.53	3280.01	27.51	10.55
	"Bergen County, NJ"	"34003"	9006	932202	9.66	171128	52.63	32.38	38.45	3258.49	25.51	11.33
	"Burlington County, NJ"	"34005"	4419	445349	9.92	79930	55.29	30.52	38.52	3297.45	27.54	10.82
	"Camden County, NJ"	"34007"	6123	506471	12.09	98640	62.07	29.77	38.47	3246.79	27.90	10.27
	"Cumberland County, NJ"	"34011"	1832	149527	12.25	26489	69.16	27.78	38.34	3194.32	29.10	9.93
	"Essex County, NJ"	"34013"	9917	798975	12.41	162878	60.89	30.44	38.33	3203.93	27.29	9.56
	"Gloucester County, NJ"	"34015"	2923	291636	10.02	55074	53.07	30.59	38.45	3292.34	27.55	10.71
	"Hudson County, NJ"	"34017"	9975	672391	14.84	154474	64.57	31.18	38.47	3212.38	25.58	10.19
	"Hunterdon County, NJ"	"34019"	997	124371	8.02	20037	49.76	32.37	38.52	3326.45	25.96	11.86
	"Mercer County, NJ"	"34021"	4103	367430	11.17	73017	56.19	29.96	38.53	3244.18	27.00	10.70
	"Middlesex County, NJ"	"34023"	8516	825062	10.32	162550	52.39	30.83	38.47	3221.98	26.50	10.73
	"Monmouth County, NJ"	"34025"	5664	618795	9.15	107133	52.87	31.66	38.55	3294.11	26.18	11.26
	"Morris County, NJ"	"34027"	4486	491845	9.12	87322	51.37	32.43	38.66	3312.48	25.68	11.20
	"Ocean County, NJ"	"34029"	9028	607186	14.87	96142	93.90	29.54	38.82	3336.20	25.45	11.02
	"Passaic County, NJ"	"34031"	6394	501826	12.74	99156	64.48	29.65	38.29	3206.68	26.93	10.92
	"Somerset County, NJ"	"34035"	3057	328934	9.29	59805	51.12	31.86	38.60	3282.96	26.16	11.27
	"Sussex County, NJ"	"34037"	1209	140488	8.61	23604	51.22	31.12	38.61	3342.45	27.00	11.06
	"Union County, NJ"	"34039"	6653	556341	11.96	107376	61.96	30.93	38.52	3259.39	26.79	10.23
	"Warren County, NJ"	"34041"	968	105267	9.20	18039	53.66	30.65	38.51	3285.32	27.65	12.32
	"Unidentified Counties, NJ"	"34999"	1476	154424	9.56	24117	61.20	29.11	38.47	3273.32	27.94	10.43
	"Bernalillo County, NM"	"35001"	7005	679121	10.31	136511	51.31	28.81	38.32	3163.10	26.89	9.36
	"Dona Ana County, NM"	"35013"	2631	218195	12.06	46357	56.76	27.37	38.25	3182.97	27.33	10.78
	"Sandoval County, NM"	"35043"	1380	146748	9.40	27009	51.09	28.85	38.30	3158.96	27.59	9.78
	"San Juan County, NM"	"35045"	1430	123958	11.54	24019	59.54	27.34	38.54	3243.23	28.32	9.27
	"Santa Fe County, NM"	"35049"	1176	150358	7.82	24584	47.84	28.80	38.34	3108.98	26.31	10.59
	"Unidentified Counties, NM"	"35999"	9338	778449	12.00	139992	66.70	27.01	38.36	3171.23	27.96	9.55
	"Albany County, NY"	"36001"	2892	305506	9.47	65828	43.93	30.16	38.58	3282.20	27.61	11.75
	"Bronx County, NY"	"36005"	19327	1418207	13.63	308238	62.70	29.27	38.43	3177.08	27.46	9.99
	"Broome County, NY"	"36007"	1964	190488	10.31	36681	53.54	28.77	38.57	3307.74	28.28	11.48
	"Chautauqua County, NY"	"36013"	1335	126903	10.52	22133	60.32	27.42	38.51	3292.83	28.54	10.66
	"Dutchess County, NY"	"36027"	2701	294218	9.18	54370	49.68	30.70	38.64	3319.96	27.95	12.78
	"Erie County, NY"	"36029"	9698	918702	10.56	176359	54.99	29.50	38.43	3253.42	27.90	10.77
	"Jefferson County, NY"	"36045"	1807	109834	16.45	20770	87.00	26.88	38.50	3300.19	27.78	12.07
	"Kings County, NY"	"36047"	37153	2559903	14.51	574838	64.63	30.47	38.65	3238.89	25.15	11.06
	"Monroe County, NY"	"36055"	7913	741770	10.67	146573	53.99	29.69	38.46	3250.24	27.84	10.57
	"Nassau County, NY"	"36059"	13810	1356924	10.18	244745	56.43	31.89	38.50	3246.12	26.08	12.18
	"New York County, NY"	"36061"	16577	1628706	10.18	401518	41.29	32.65	38.61	3227.31	24.16	11.36
	"Niagara County, NY"	"36063"	2066	209281	9.87	36889	56.01	29.12	38.53	3303.08	28.71	10.54
	"Oneida County, NY"	"36065"	2489	228671	10.88	40258	61.83	28.52	38.58	3321.86	28.29	11.75
	"Onondaga County, NY"	"36067"	5051	460528	10.97	90900	55.57	29.33	38.73	3317.95	28.06	12.66
	"Ontario County, NY"	"36069"	964	109777	8.78	19091	50.49	29.53	38.65	3350.30	27.70	10.93
	"Orange County, NY"	"36071"	5199	384940	13.51	71215	73.00	29.67	38.68	3303.09	27.02	10.21
	"Oswego County, NY"	"36075"	1233	117124	10.53	21636	56.99	28.18	38.78	3370.29	29.42	12.54
	"Queens County, NY"	"36081"	27063	2253858	12.01	452594	59.80	30.86	38.51	3204.55	25.61	11.32
	"Rensselaer County, NY"	"36083"	1608	158714	10.13	30636	52.49	29.47	38.55	3273.12	28.28	12.10
	"Richmond County, NY"	"36085"	5283	476143	11.10	90699	58.25	30.90	38.53	3239.94	26.13	12.82
	"Rockland County, NY"	"36087"	5714	325789	17.54	58350	97.93	30.04	38.94	3322.69	25.73	11.10
	"St. Lawrence County, NY"	"36089"	984	107740	9.13	19963	49.29	28.08	38.66	3332.46	29.19	10.62
	"Saratoga County, NY"	"36091"	2062	229863	8.97	40830	50.50	31.04	38.70	3371.62	27.61	12.06
	"Schenectady County, NY"	"36093"	1798	155299	11.58	29693	60.55	29.15	38.50	3250.69	28.80	11.46
	"Suffolk County, NY"	"36103"	15036	1476601	10.18	264740	56.80	30.94	38.43	3265.11	27.02	11.48
	"Tompkins County, NY"	"36109"	704	102180	6.89	26512	26.55	30.65	38.91	3343.47	26.45	11.90
	"Ulster County, NY"	"36111"	1526	177573	8.59	31495	48.45	30.04	38.66	3304.35	28.04	11.43
	"Westchester County, NY"	"36119"	9880	967506	10.21	179583	55.02	31.96	38.52	3261.31	26.28	11.07
	"Unidentified Counties, NY"	"36999"	17702	1860813	9.51	317650	55.73	28.61	38.68	3340.31	28.61	11.47
	"Alamance County, NC"	"37001"	1863	169509	10.99	34040	54.73	28.34	38.36	3233.25	28.95	11.66
	"Brunswick County, NC"	"37019"	1026	142820	7.18	18918	54.23	28.32	38.50	3273.14	27.45	11.83
	"Buncombe County, NC"	"37021"	2463	261191	9.43	50489	48.78	29.61	38.49	3254.55	26.04	14.03
	"Cabarrus County, NC"	"37025"	2538	216453	11.73	43542	58.29	28.97	38.33	3255.87	27.97	11.58
	"Catawba County, NC"	"37035"	1687	159551	10.57	28569	59.05	27.83	38.40	3263.88	28.03	13.49
	"Craven County, NC"	"37049"	1319	102139	12.91	17999	73.28	27.17	38.47	3250.57	28.00	12.28
	"Cumberland County, NC"	"37051"	5462	335509	16.28	72306	75.54	27.24	38.29	3215.81	27.49	11.31
	"Davidson County, NC"	"37057"	1775	167609	10.59	29412	60.35	27.47	38.15	3213.18	28.05	12.98
	"Durham County, NC"	"37063"	4158	321488	12.93	75195	55.30	29.81	38.49	3232.21	26.80	13.90
	"Forsyth County, NC"	"37067"	4410	382295	11.54	77428	56.96	28.69	38.24	3201.83	27.59	13.57
	"Gaston County, NC"	"37071"	2598	224529	11.57	42868	60.60	27.97	38.52	3212.85	28.08	11.56
	"Guilford County, NC"	"37081"	6045	537174	11.25	114917	52.60	29.05	38.29	3206.02	28.13	12.80
	"Harnett County, NC"	"37085"	1860	135976	13.68	28248	65.85	28.28	38.41	3270.08	27.51	10.84
	"Henderson County, NC"	"37089"	1022	117417	8.70	18436	55.44	28.72	38.59	3271.00	26.51	13.45
	"Iredell County, NC"	"37097"	1883	181806	10.36	33169	56.77	28.72	38.39	3295.97	27.97	11.04
	"Johnston County, NC"	"37101"	2522	209339	12.05	40543	62.21	28.66	38.36	3271.20	28.11	12.81
	"Mecklenburg County, NC"	"37119"	14401	1110356	12.97	254001	56.70	29.89	38.41	3207.35	26.36	11.68
	"New Hanover County, NC"	"37129"	2172	234473	9.26	49920	43.51	29.67	38.40	3272.87	26.25	12.74
	"Onslow County, NC"	"37133"	3820	197938	19.30	40834	93.55	26.36	38.50	3311.61	26.82	12.49
	"Orange County, NC"	"37135"	1163	148476	7.83	35707	32.57	31.08	38.62	3288.14	25.91	12.11
	"Pitt County, NC"	"37147"	2079	180742	11.50	44403	46.82	28.36	37.86	3140.34	28.66	11.66
	"Randolph County, NC"	"37151"	1546	143667	10.76	25276	61.16	27.73	38.33	3279.61	28.32	12.35
	"Robeson County, NC"	"37155"	1731	130625	13.25	25437	68.05	26.20	38.38	3177.28	28.80	10.23
	"Rowan County, NC"	"37159"	1548	142088	10.89	25719	60.19	27.57	38.11	3192.06	28.58	10.91
	"Union County, NC"	"37179"	2278	239859	9.50	45706	49.84	29.38	38.46	3294.45	27.37	12.44
	"Wake County, NC"	"37183"	12688	1111761	11.41	241844	52.46	30.58	38.53	3281.14	26.37	12.87
	"Wayne County, NC"	"37191"	1619	123131	13.15	23167	69.88	27.44	38.31	3235.58	28.36	11.12
	"Unidentified Counties, NC"	"37999"	31049	3060163	10.15	517663	59.98	27.64	38.27	3225.56	28.41	11.94
	"Cass County, ND"	"38017"	2444	181923	13.43	41918	58.30	29.56	38.40	3310.61	27.65	10.95
	"Unidentified Counties, ND"	"38999"	8010	580139	13.81	106235	75.40	28.50	38.42	3333.40	28.27	10.43
	"Allen County, OH"	"39003"	1268	102351	12.39	18275	69.38	27.00	38.20	3231.47	28.61	11.89
	"Ashtabula County, OH"	"39007"	1085	97241	11.16	15826	68.56	27.27	38.35	3254.88	28.66	9.99
	"Butler County, OH"	"39017"	4446	383134	11.60	77631	57.27	28.54	38.29	3283.47	27.90	11.64
	"Clark County, OH"	"39023"	1572	134083	11.72	24249	64.83	26.89	38.23	3231.38	28.89	10.14
	"Clermont County, OH"	"39025"	2234	206428	10.82	37401	59.73	28.62	38.38	3300.22	27.54	12.07
	"Columbiana County, OH"	"39029"	1020	101883	10.01	16094	63.38	27.17	38.26	3279.32	28.36	13.12
	"Cuyahoga County, OH"	"39035"	13935	1235072	11.28	239615	58.16	29.02	38.21	3179.34	27.73	12.08
	"Delaware County, OH"	"39041"	2120	209177	10.13	39283	53.97	31.49	38.50	3310.64	25.84	12.42
	"Fairfield County, OH"	"39045"	1733	157574	11.00	28988	59.78	28.80	38.35	3289.18	27.44	11.85
	"Franklin County, OH"	"39049"	18400	1316756	13.97	296866	61.98	29.39	38.32	3221.39	27.02	11.29
	"Greene County, OH"	"39057"	1739	168937	10.29	33613	51.74	28.86	38.43	3326.79	27.40	11.68
	"Hamilton County, OH"	"39061"	10676	817473	13.06	166391	64.16	28.89	38.26	3209.59	27.19	11.18
	"Lake County, OH"	"39085"	2181	230149	9.48	39680	54.96	29.35	38.41	3271.26	27.19	12.21
	"Licking County, OH"	"39089"	1989	176862	11.25	32746	60.74	28.41	38.33	3287.75	27.91	10.72
	"Lorain County, OH"	"39093"	3256	309833	10.51	54786	59.43	28.41	38.29	3250.39	28.20	11.89
	"Lucas County, OH"	"39095"	5229	428348	12.21	82996	63.00	27.81	38.21	3207.03	28.09	12.61
	"Mahoning County, OH"	"39099"	2434	228683	10.64	39198	62.10	27.97	38.04	3156.24	28.00	13.24
	"Medina County, OH"	"39103"	1688	179746	9.39	31098	54.28	30.31	38.58	3321.52	26.79	12.29
	"Miami County, OH"	"39109"	1238	106987	11.57	18630	66.45	27.96	38.49	3340.03	27.56	11.45
	"Montgomery County, OH"	"39113"	6395	531687	12.03	102225	62.56	27.94	38.26	3237.19	28.36	10.95
	"Portage County, OH"	"39133"	1355	162466	8.34	34333	39.47	29.05	38.43	3293.93	27.60	12.23
	"Richland County, OH"	"39139"	1423	121154	11.75	20022	71.07	26.69	38.60	3314.06	27.98	11.80
	"Stark County, OH"	"39151"	4108	370606	11.08	66163	62.09	27.87	38.48	3271.83	27.88	10.77
	"Summit County, OH"	"39153"	5838	541013	10.79	100663	58.00	28.77	38.43	3243.83	27.29	11.77
	"Trumbull County, OH"	"39155"	2150	197974	10.86	33044	65.06	27.34	38.31	3227.20	28.54	11.59
	"Warren County, OH"	"39165"	2401	234602	10.23	42123	57.00	30.09	38.38	3305.86	26.47	11.65
	"Wayne County, OH"	"39169"	1442	115710	12.46	20761	69.46	28.53	38.76	3375.37	27.40	10.64
	"Wood County, OH"	"39173"	1281	130817	9.79	28643	44.72	29.00	38.32	3304.17	27.55	13.15
	"Unidentified Counties, OH"	"39999"	29825	2692354	11.08	470804	63.35	27.38	38.37	3298.79	28.06	11.47
	"Canadian County, OK"	"40017"	1754	148306	11.83	30235	58.01	28.46	38.24	3283.53	27.88	11.09
	"Cleveland County, OK"	"40027"	2811	284014	9.90	63823	44.04	28.35	38.18	3256.43	27.62	10.83
	"Comanche County, OK"	"40031"	1725	120749	14.29	24336	70.88	26.72	38.19	3223.62	28.01	10.27
	"Oklahoma County, OK"	"40109"	11320	797434	14.20	166027	68.18	28.13	38.15	3224.84	27.70	10.77
	"Tulsa County, OK"	"40143"	8866	651552	13.61	132479	66.92	28.20	38.15	3247.45	27.69	11.64
	"Unidentified Counties, OK"	"40999"	22667	1954916	11.59	357915	63.33	26.66	38.21	3267.49	28.32	10.94
	"Clackamas County, OR"	"41005"	3798	418187	9.08	76586	49.59	30.38	38.72	3355.16	26.57	11.84
	"Deschutes County, OR"	"41017"	1828	197692	9.25	35867	50.97	30.14	38.96	3318.35	25.75	11.13
	"Douglas County, OR"	"41019"	1038	110980	9.35	17417	59.60	27.99	38.61	3326.39	27.86	13.21
	"Jackson County, OR"	"41029"	2138	220944	9.68	39090	54.69	28.48	38.54	3321.73	26.93	11.40
	"Lane County, OR"	"41039"	3268	382067	8.55	77716	42.05	29.23	38.64	3336.88	27.28	11.94
	"Linn County, OR"	"41043"	1453	129749	11.20	24095	60.30	28.49	38.66	3359.79	28.10	11.80
	"Marion County, OR"	"41047"	4114	347818	11.83	67560	60.89	28.56	38.59	3353.18	28.33	12.20
	"Multnomah County, OR"	"41051"	8083	812855	9.94	187623	43.08	30.91	38.76	3320.51	26.37	11.71
	"Washington County, OR"	"41067"	6345	601592	10.55	127041	49.94	30.77	38.73	3319.89	26.57	11.77
	"Unidentified Counties, OR"	"41999"	9793	995853	9.83	174850	56.01	28.35	38.62	3329.28	27.95	11.88
	"Adams County, PA"	"42001"	892	103009	8.66	17507	50.95	28.69	38.50	3324.22	28.04	12.53
	"Allegheny County, PA"	"42003"	12819	1216045	10.54	236962	54.10	30.25	38.46	3244.80	26.66	13.04
	"Beaver County, PA"	"42007"	1542	163929	9.41	27298	56.49	29.08	38.55	3308.30	27.63	12.03
	"Berks County, PA"	"42011"	4707	421164	11.18	78415	60.03	28.49	38.40	3277.65	27.48	14.68
	"Blair County, PA"	"42013"	1197	121829	9.83	20935	57.18	27.69	38.68	3316.98	27.73	11.48
	"Bucks County, PA"	"42017"	5608	628270	8.93	107801	52.02	31.11	38.57	3321.89	26.57	11.36
	"Butler County, PA"	"42019"	1645	187853	8.76	32476	50.65	30.26	38.53	3320.29	26.81	12.95
	"Cambria County, PA"	"42021"	1238	130192	9.51	21283	58.17	27.91	38.37	3229.76	28.24	11.28
	"Centre County, PA"	"42027"	1082	162385	6.66	36896	29.33	29.90	38.85	3380.02	26.38	12.66
	"Chester County, PA"	"42029"	5329	524989	10.15	96698	55.11	31.17	38.66	3349.02	25.70	10.11
	"Cumberland County, PA"	"42041"	2597	253370	10.25	47175	55.05	29.54	38.67	3329.45	27.27	10.39
	"Dauphin County, PA"	"42043"	3273	278299	11.76	52896	61.88	28.55	38.45	3228.43	27.74	10.35
	"Delaware County, PA"	"42045"	6328	566747	11.17	111421	56.79	30.64	38.51	3269.66	26.90	10.73
	"Erie County, PA"	"42049"	2782	269728	10.31	49856	55.80	28.13	38.32	3224.15	27.62	10.87
	"Fayette County, PA"	"42051"	1233	129274	9.54	20952	58.85	27.38	38.28	3221.29	28.08	11.57
	"Franklin County, PA"	"42055"	1745	155027	11.26	26979	64.68	28.00	38.47	3312.06	27.43	11.02
	"Lackawanna County, PA"	"42069"	2058	209674	9.82	37836	54.39	29.20	38.45	3263.56	27.53	11.35
	"Lancaster County, PA"	"42071"	6899	545724	12.64	102045	67.61	28.89	38.64	3355.04	26.38	10.93
	"Lebanon County, PA"	"42075"	1595	141793	11.25	25065	63.63	27.97	38.48	3275.44	27.00	11.80
	"Lehigh County, PA"	"42077"	4282	369318	11.59	71218	60.13	28.96	38.43	3242.47	27.41	13.25
	"Luzerne County, PA"	"42079"	3255	317417	10.25	55364	58.79	28.21	38.51	3264.82	27.85	12.01
	"Lycoming County, PA"	"42081"	1187	113299	10.48	20523	57.84	27.99	38.40	3289.19	27.92	11.67
	"Mercer County, PA"	"42085"	1025	109424	9.37	18162	56.44	28.13	38.38	3271.35	27.24	10.62
	"Monroe County, PA"	"42089"	1475	170271	8.66	30999	47.58	29.12	38.44	3255.09	28.41	13.84
	"Montgomery County, PA"	"42091"	8440	830915	10.16	152889	55.20	31.39	38.65	3308.72	26.21	11.23
	"Northampton County, PA"	"42095"	2782	305285	9.11	55538	50.09	29.83	38.52	3263.53	27.59	15.55
	"Philadelphia County, PA"	"42101"	20511	1584064	12.95	366056	56.03	29.04	38.28	3157.89	27.41	10.02
	"Schuylkill County, PA"	"42107"	1325	141359	9.37	22168	59.77	28.13	38.39	3238.42	27.51	11.13
	"Washington County, PA"	"42125"	2026	206865	9.79	35016	57.86	29.37	38.52	3282.21	27.06	12.10
	"Westmoreland County, PA"	"42129"	2962	348899	8.49	55088	53.77	29.37	38.51	3294.87	27.49	13.12
	"York County, PA"	"42133"	4760	449058	10.60	80831	58.89	28.60	38.49	3282.97	27.62	11.83
	"Unidentified Counties, PA"	"42999"	15631	1646514	9.49	268545	58.21	28.02	38.57	3298.28	27.81	11.18
	"Kent County, RI"	"44003"	1450	164292	8.83	29238	49.59	30.46	38.57	3326.73	27.32	12.94
	"Providence County, RI"	"44007"	6956	638931	10.89	133348	52.16	29.37	38.46	3249.09	27.21	13.16
	"Washington County, RI"	"44009"	821	125577	6.54	23261	35.30	31.02	38.70	3377.45	26.09	13.27
